"id","users/id","comment","share","create_uid/id","create_date","name","category_id/id","write_date","write_uid/id","implied_ids/id","view_access/id","model_access/id","menu_access/id","is_portal","color"
"__export__.res_groups_22_97ea54da","__export__.res_users_692_c0c23d6e","","False","base.user_root","2019-07-22 05:52:25","一般(測試)","__export__.ir_module_category_89_71d2922a","2019-08-01 07:37:49","base.user_root","","","__export__.ir_model_access_193_eb6f26f5","","False","0"
"","","","","","","","","","","","","__export__.ir_model_access_194_f0db1cae","","",""
"","","","","","","","","","","","","__export__.ir_model_access_195_ac06b986","","",""
"","","","","","","","","","","","","__export__.ir_model_access_196_cd570a1e","","",""
"","","","","","","","","","","","","__export__.ir_model_access_197_1ebfce86","","",""
"","","","","","","","","","","","","__export__.ir_model_access_198_2487cebe","","",""
"","","","","","","","","","","","","__export__.ir_model_access_199_062d81ef","","",""
"","","","","","","","","","","","","__export__.ir_model_access_200_d7ebd6ed","","",""
"","","","","","","","","","","","","__export__.ir_model_access_201_a6c35d71","","",""
"","","","","","","","","","","","","__export__.ir_model_access_202_ef4a818b","","",""
"","","","","","","","","","","","","__export__.ir_model_access_203_179f13b0","","",""
"","","","","","","","","","","","","__export__.ir_model_access_204_bd383377","","",""
"","","","","","","","","","","","","__export__.ir_model_access_205_1161414d","","",""
"","","","","","","","","","","","","__export__.ir_model_access_206_dd61b017","","",""
"","","","","","","","","","","","","__export__.ir_model_access_207_5e6e348e","","",""
"","","","","","","","","","","","","__export__.ir_model_access_208_ceb12987","","",""
"","","","","","","","","","","","","__export__.ir_model_access_209_2492b199","","",""
"","","","","","","","","","","","","__export__.ir_model_access_210_46411bd4","","",""
"","","","","","","","","","","","","__export__.ir_model_access_211_9b274b4a","","",""
"","","","","","","","","","","","","__export__.ir_model_access_212_74766b26","","",""
"","","","","","","","","","","","","__export__.ir_model_access_213_56fa6c33","","",""
"","","","","","","","","","","","","__export__.ir_model_access_214_eb073f0b","","",""
"","","","","","","","","","","","","__export__.ir_model_access_215_3c9600c0","","",""
"","","","","","","","","","","","","__export__.ir_model_access_216_4409bee2","","",""
"","","","","","","","","","","","","__export__.ir_model_access_217_95c4b26f","","",""
"","","","","","","","","","","","","__export__.ir_model_access_218_1f220a29","","",""
